ENERGY	total-DOS	32:total	32:s	32:p	32:PX	32:PY	32:PZ	32:d	32:DZ2	32:DX2Y2	32:DXY	32:DXZ	32:DYZ	32:f	1:total	1:s	1:p	1:PX	1:PY	1:PZ	1:d	1:DZ2	1:DX2Y2	1:DXY	1:DXZ	1:DYZ	1:f
  -1.72928	  -8.77848339	  -0.03711336	  -0.00923080	  -0.02014511	  -0.01040839	  -0.00484208	  -0.00486614	  -0.00732951	  -0.00113438	  -0.00117584	  -0.00228768	  -0.00228652	  -0.00041930	  -0.00035405	  -0.41415048	  -0.00313204	  -0.02026627	  -0.00113372	  -0.00129466	  -0.00130764	  -0.04865959	  -0.00979538	  -0.01209536	  -0.00909653	  -0.01013169	  -0.00751250	  -0.34205058
  -1.70207	 -10.98925495	  -0.03930232	  -0.00982065	  -0.02145924	  -0.00916025	  -0.00609653	  -0.00617083	  -0.00743849	  -0.00122235	  -0.00107202	  -0.00216064	  -0.00217290	  -0.00077540	  -0.00050432	  -0.35600439	  -0.00660360	  -0.02110678	  -0.00109077	  -0.00119902	  -0.00125152	  -0.08109800	  -0.01352853	  -0.01794565	  -0.01587634	  -0.01844210	  -0.01527549	  -0.24714260
  -1.67486	 -16.88963127	  -0.04982131	  -0.01202668	  -0.02670554	  -0.00949583	  -0.00850431	  -0.00865059	  -0.01009093	  -0.00157009	  -0.00097318	  -0.00306351	  -0.00310257	  -0.00132997	  -0.00085810	  -0.40175590	  -0.01351105	  -0.03027095	  -0.00138359	  -0.00152208	  -0.00164893	  -0.14561740	  -0.02313427	  -0.03466362	  -0.02607083	  -0.03075457	  -0.03096842	  -0.21227179
  -1.64765	 -21.75707626	  -0.06773136	  -0.01698745	  -0.03443398	  -0.01356627	  -0.01032400	  -0.01047396	  -0.01496464	  -0.00218458	  -0.00110430	  -0.00495070	  -0.00499874	  -0.00165925	  -0.00116228	  -0.45855150	  -0.01896045	  -0.03955892	  -0.00179889	  -0.00205950	  -0.00216054	  -0.19067496	  -0.03053792	  -0.04937259	  -0.03150959	  -0.03621981	  -0.04302701	  -0.20924360
  -1.62044	 -19.75055122	  -0.08202576	  -0.02455991	  -0.03782981	  -0.01754851	  -0.01009141	  -0.01014331	  -0.01838555	  -0.00275726	  -0.00140768	  -0.00638394	  -0.00639272	  -0.00137275	  -0.00109254	  -0.40647909	  -0.01696572	  -0.03450549	  -0.00174246	  -0.00209636	  -0.00202134	  -0.16742481	  -0.02707731	  -0.04219220	  -0.02884354	  -0.03012161	  -0.03919658	  -0.18747731
  -1.59323	 -17.17837334	  -0.10607296	  -0.04005310	  -0.04392748	  -0.01849065	  -0.01271059	  -0.01270579	  -0.02094094	  -0.00429353	  -0.00231571	  -0.00668471	  -0.00666625	  -0.00091269	  -0.00102516	  -0.34888721	  -0.01297202	  -0.02732614	  -0.00160783	  -0.00182919	  -0.00172623	  -0.15097305	  -0.02711428	  -0.03022427	  -0.03061948	  -0.03021418	  -0.03280599	  -0.15752360
  -1.56602	 -18.26445580	  -0.14598168	  -0.05857342	  -0.06222643	  -0.02092054	  -0.02062075	  -0.02067217	  -0.02387104	  -0.00655963	  -0.00369156	  -0.00646932	  -0.00646437	  -0.00062293	  -0.00119212	  -0.36709300	  -0.01193406	  -0.02764376	  -0.00179699	  -0.00174165	  -0.00175891	  -0.18142152	  -0.03656815	  -0.02782277	  -0.04079516	  -0.04072443	  -0.03550767	  -0.14599773
  -1.53880	 -18.99152756	  -0.17225756	  -0.06241491	  -0.08484644	  -0.02723377	  -0.02866497	  -0.02893323	  -0.02355037	  -0.00695897	  -0.00422164	  -0.00593407	  -0.00595253	  -0.00042635	  -0.00133792	  -0.38334188	  -0.01193444	  -0.02898693	  -0.00206085	  -0.00170473	  -0.00176017	  -0.20640706	  -0.04128494	  -0.02891255	  -0.04848741	  -0.04765185	  -0.04006248	  -0.13590601
  -1.51159	 -16.83751297	  -0.17550947	  -0.05322411	  -0.10123836	  -0.03501904	  -0.03289915	  -0.03330545	  -0.01962990	  -0.00577309	  -0.00388918	  -0.00481021	  -0.00484633	  -0.00025755	  -0.00133457	  -0.34353682	  -0.01100591	  -0.02680948	  -0.00208889	  -0.00152334	  -0.00154532	  -0.19486253	  -0.03679692	  -0.02912029	  -0.04628821	  -0.04446617	  -0.03818100	  -0.11074495
  -1.48438	 -13.69754696	  -0.16115651	  -0.04000127	  -0.10538965	  -0.03857135	  -0.03331533	  -0.03348771	  -0.01448146	  -0.00444107	  -0.00324712	  -0.00326728	  -0.00331230	  -0.00016435	  -0.00122737	  -0.27871725	  -0.00964569	  -0.02461866	  -0.00202911	  -0.00139737	  -0.00139656	  -0.16143252	  -0.03019616	  -0.02894405	  -0.03587034	  -0.03400341	  -0.03240578	  -0.08291839
