ENERGY	total-DOS	32:total	32:s	32:p	32:PX	32:PY	32:PZ	32:d	32:DZ2	32:DX2Y2	32:DXY	32:DXZ	32:DYZ	32:f	1:total	1:s	1:p	1:PX	1:PY	1:PZ	1:d	1:DZ2	1:DX2Y2	1:DXY	1:DXZ	1:DYZ	1:f
  -0.85852	  12.45955563	   0.07200183	   0.00479182	   0.05169491	   0.00457231	   0.02355148	   0.02356192	   0.01432720	   0.00316223	   0.00127990	   0.00451804	   0.00451731	   0.00081993	   0.00107589	   0.25346386	   0.00098564	   0.02031948	   0.00108476	   0.00103007	   0.00102550	   0.22638845	   0.05911717	   0.05149359	   0.03845156	   0.04004063	   0.03727871	   0.00567859
  -0.83131	  14.74005795	   0.08635913	   0.00667461	   0.05649897	   0.00704534	   0.02469386	   0.02475039	   0.02191931	   0.00557994	   0.00215719	   0.00660191	   0.00658204	   0.00096444	   0.00113844	   0.31058446	   0.00094171	   0.02004446	   0.00101638	   0.00101657	   0.00100152	   0.28222319	   0.07545547	   0.06752367	   0.04521278	   0.04673241	   0.04728528	   0.00726007
  -0.80410	  16.48929977	   0.11640213	   0.01058124	   0.07430506	   0.01111970	   0.03153909	   0.03163957	   0.03016678	   0.00814418	   0.00316990	   0.00893574	   0.00891179	   0.00096029	   0.00121295	   0.33676904	   0.00090602	   0.02123818	   0.00103616	   0.00107942	   0.00105260	   0.30584207	   0.07275064	   0.06943578	   0.05451112	   0.05564581	   0.05348038	   0.00864720
  -0.77688	  16.65332985	   0.15027900	   0.01489951	   0.09892483	   0.01673876	   0.04104841	   0.04113568	   0.03501973	   0.00981293	   0.00395751	   0.01024976	   0.01024105	   0.00070558	   0.00129985	   0.32613730	   0.00097143	   0.02189977	   0.00105244	   0.00112163	   0.00108877	   0.29416233	   0.05817650	   0.05887784	   0.06221202	   0.06291948	   0.05195323	   0.00896896
  -0.74967	  15.10130882	   0.16438763	   0.01500914	   0.11575656	   0.02156013	   0.04708055	   0.04712250	   0.03215983	   0.01022269	   0.00422262	   0.00863648	   0.00864293	   0.00038065	   0.00134240	   0.28279257	   0.00109938	   0.02111407	   0.00103713	   0.00108270	   0.00105360	   0.25194594	   0.04068748	   0.04392505	   0.06038868	   0.06089304	   0.04602421	   0.00851591
  -0.72246	  12.93985176	   0.15503386	   0.01093978	   0.11843435	   0.02462164	   0.04691438	   0.04691300	   0.02427253	   0.00924425	   0.00387487	   0.00544902	   0.00545602	   0.00019573	   0.00129196	   0.22790213	   0.00121370	   0.02026450	   0.00100662	   0.00103418	   0.00101367	   0.19798850	   0.02859875	   0.03254328	   0.04844128	   0.04890846	   0.03946922	   0.00833573
  -0.69525	  11.55449772	   0.14256658	   0.00834597	   0.11444429	   0.02779726	   0.04334897	   0.04331472	   0.01851051	   0.00736898	   0.00325391	   0.00384181	   0.00384348	   0.00014942	   0.00118759	   0.18922219	   0.00133029	   0.02063354	   0.00099173	   0.00105519	   0.00104159	   0.15840085	   0.02230136	   0.02532665	   0.03799841	   0.03844436	   0.03430754	   0.00876390
  -0.66804	  11.08565140	   0.13602817	   0.00830589	   0.11034387	   0.03176445	   0.03932431	   0.03927083	   0.01621496	   0.00545209	   0.00269471	   0.00392651	   0.00392527	   0.00016118	   0.00109128	   0.17034140	   0.00147162	   0.02205328	   0.00101592	   0.00114954	   0.00113958	   0.13720384	   0.01849838	   0.02043963	   0.03317195	   0.03362288	   0.03145538	   0.00951499
  -0.64083	  10.68810749	   0.12807703	   0.00865218	   0.10335878	   0.03320824	   0.03511227	   0.03505238	   0.01499904	   0.00396524	   0.00227475	   0.00425997	   0.00425851	   0.00018649	   0.00099711	   0.15757428	   0.00150005	   0.02276444	   0.00103324	   0.00121688	   0.00120855	   0.12321690	   0.01555170	   0.01679830	   0.03060647	   0.03113654	   0.02911463	   0.00999174
  -0.61362	   9.29794407	   0.10760201	   0.00794242	   0.08586123	   0.02778193	   0.02907494	   0.02901413	   0.01289869	   0.00283300	   0.00186100	   0.00398157	   0.00398088	   0.00019804	   0.00083666	   0.13585258	   0.00122835	   0.02012326	   0.00093995	   0.00109992	   0.00109300	   0.10524306	   0.01223227	   0.01303247	   0.02748864	   0.02814676	   0.02433904	   0.00916693
  -0.58640	   7.14818001	   0.07871440	   0.00611436	   0.06174282	   0.01843743	   0.02168271	   0.02162693	   0.01018030	   0.00193164	   0.00138421	   0.00332690	   0.00332668	   0.00018097	   0.00062576	   0.10738727	   0.00081378	   0.01503538	   0.00074953	   0.00084674	   0.00084093	   0.08436127	   0.00865475	   0.00912875	   0.02364451	   0.02442294	   0.01851073	   0.00710697
